name,positions,body_type,short_passing,dribbling,long_passing,ball_control,agility,reactions,balance,stamina,interceptions,positioning,vision,composure,marking,standing_tackle
G. Gillet,"CDM,CM",Normal,0.6470588235294117,0.641025641025641,0.6575342465753424,0.657142857142857,0.5211267605633803,0.6140350877192982,0.4520547945205479,0.6521739130434783,0.7435897435897435,0.8076923076923077,0.7073170731707317,0.6774193548387097,0.7023809523809523,0.6790123456790123
C. Moritz,"CM,CDM",Lean,0.6764705882352942,0.7051282051282051,0.6575342465753424,0.6714285714285713,0.732394366197183,0.6491228070175439,0.6164383561643836,0.8115942028985508,0.7820512820512819,0.6923076923076923,0.7073170731707317,0.6774193548387097,0.7499999999999999,0.7037037037037037
S. Wuytens,CB,Normal,0.75,0.6025641025641026,0.7671232876712328,0.6857142857142857,0.619718309859155,0.6140350877192982,0.6301369863013697,0.7681159420289856,0.7564102564102564,0.6025641025641026,0.7317073170731707,0.6774193548387097,0.7619047619047619,0.7160493827160493
I. Damonte,"CM,CDM",Normal,0.6617647058823528,0.6923076923076923,0.6986301369863013,0.6857142857142857,0.647887323943662,0.6491228070175439,0.6575342465753424,0.6666666666666667,0.7435897435897435,0.7435897435897436,0.6951219512195123,0.6774193548387097,0.7261904761904762,0.691358024691358
Stephen Eustáquio,"CDM,CM",Lean,0.75,0.7051282051282051,0.726027397260274,0.6714285714285713,0.6619718309859155,0.6491228070175439,0.7123287671232876,0.7681159420289856,0.7435897435897435,0.6282051282051282,0.7317073170731707,0.6774193548387097,0.6785714285714285,0.7407407407407407
W. Trapp,CDM,Normal,0.7794117647058822,0.6538461538461537,0.7945205479452053,0.7,0.619718309859155,0.7017543859649122,0.6849315068493149,0.7246376811594202,0.6666666666666666,0.5641025641025641,0.6951219512195123,0.6774193548387097,0.6666666666666666,0.7037037037037037
M. Abeid,"CDM,CM",Stocky,0.75,0.7820512820512819,0.7397260273972603,0.7142857142857142,0.619718309859155,0.6140350877192982,0.6986301369863013,0.6086956521739131,0.7051282051282051,0.7179487179487178,0.6829268292682927,0.6935483870967742,0.7142857142857142,0.7037037037037037
O. Tufan,"CDM,CM",Normal,0.7058823529411764,0.7179487179487178,0.7123287671232876,0.6857142857142857,0.7464788732394367,0.5964912280701753,0.6575342465753424,0.6666666666666667,0.7692307692307692,0.8076923076923077,0.6707317073170732,0.6935483870967742,0.7142857142857142,0.7407407407407407
S. Lukić,"CDM,CM",Lean,0.8088235294117647,0.7820512820512819,0.7534246575342465,0.7999999999999998,0.619718309859155,0.5964912280701753,0.7123287671232876,0.5942028985507246,0.6794871794871794,0.6025641025641026,0.7439024390243902,0.6935483870967742,0.6666666666666666,0.7407407407407407
J. Johansson,"CM,CDM",Normal,0.7647058823529411,0.6282051282051282,0.684931506849315,0.6285714285714286,0.3802816901408451,0.6140350877192982,0.3698630136986301,0.855072463768116,0.7692307692307692,0.7179487179487178,0.6829268292682927,0.6935483870967742,0.738095238095238,0.8395061728395061
J. Livermore,"CM,CDM",Stocky,0.7647058823529411,0.6538461538461537,0.726027397260274,0.7,0.5915492957746479,0.6666666666666667,0.6986301369863013,0.8115942028985508,0.7435897435897435,0.641025641025641,0.6707317073170732,0.7258064516129032,0.7857142857142856,0.7407407407407407
Mikel Rico,CM,Lean,0.7058823529411764,0.5897435897435896,0.726027397260274,0.6428571428571428,0.6338028169014085,0.7719298245614035,0.7123287671232876,0.7391304347826086,0.8205128205128205,0.7435897435897436,0.7804878048780488,0.7419354838709677,0.7023809523809523,0.8024691358024691
D. Brasanac,"CM,RM,CDM",Normal,0.75,0.6282051282051282,0.7534246575342465,0.7,0.5070422535211268,0.7543859649122806,0.6301369863013697,0.6376811594202898,0.6923076923076923,0.8333333333333333,0.7439024390243902,0.7096774193548387,0.738095238095238,0.7407407407407407
